frame_index,time_sec,class_id,class_name,confidence,xmin,ymin,xmax,ymax,preprocess_ms,inference_ms,postprocess_ms,end_to_end_fps
153,7.691,1,mouse,0.827763,50.85,209.10,230.58,470.99,2.781,25.515,3.219,20.026
154,7.731,1,mouse,0.886514,52.99,220.70,231.96,472.05,2.572,25.500,2.963,20.457
155,7.791,1,mouse,0.648562,48.47,226.92,238.07,474.11,2.844,25.592,3.259,20.102
156,7.831,1,mouse,0.759501,52.11,223.95,233.75,471.42,2.573,25.700,2.906,20.577
157,7.891,1,mouse,0.592163,53.61,215.91,253.06,470.78,2.816,26.122,3.288,20.181
158,7.930,1,mouse,0.645089,40.13,213.33,241.13,472.46,2.846,25.671,3.056,20.659
159,7.992,1,mouse,0.655066,36.86,216.05,223.02,470.27,2.696,25.529,3.197,20.276
160,8.031,1,mouse,0.662804,34.75,210.85,231.32,471.36,2.607,25.504,3.052,20.681
161,8.092,1,mouse,0.532199,22.66,203.00,215.56,462.37,2.803,25.594,3.305,20.305
161,8.092,1,mouse,0.524440,68.90,203.71,205.32,466.77,2.803,25.594,3.305,20.305
162,8.131,1,mouse,0.722123,22.75,193.63,225.83,459.77,2.611,25.502,3.011,20.715
163,8.189,1,mouse,0.460247,9.25,171.42,214.46,443.26,2.507,25.496,3.287,20.366
164,8.229,1,mouse,0.738070,11.10,163.21,200.41,438.33,2.555,25.509,3.191,20.858
165,8.291,1,mouse,0.834928,2.03,154.16,182.40,433.16,2.508,25.549,3.215,20.425
166,8.330,1,mouse,0.570823,1.21,144.04,197.04,422.29,2.563,25.507,3.018,20.829
167,8.391,1,mouse,0.875504,1.02,127.37,169.78,407.83,2.760,25.538,3.194,20.425
168,8.430,1,mouse,0.859704,0.17,110.20,192.42,395.42,2.582,25.518,3.027,20.824
169,8.491,1,mouse,0.723351,0.00,91.77,163.93,380.15,2.843,25.550,3.206,20.425
170,8.532,1,mouse,0.923327,0.03,87.30,159.57,372.95,2.589,25.702,2.936,20.833
171,8.591,1,mouse,0.493228,0.46,65.03,185.63,369.03,2.765,25.574,3.236,20.446
172,8.632,1,mouse,0.662301,0.66,84.29,198.58,367.59,2.546,25.510,3.075,20.876
173,8.691,1,mouse,0.539730,4.67,79.22,206.49,360.45,2.764,25.508,3.142,20.470
174,8.732,1,mouse,0.568271,2.15,79.64,171.62,357.22,2.592,25.518,2.984,20.859
175,8.791,1,mouse,0.380100,9.04,48.23,213.18,344.95,2.790,25.529,3.111,20.471
176,8.832,1,mouse,0.428851,8.87,67.80,216.91,339.25,2.598,25.535,2.985,20.876
177,8.890,1,mouse,0.713141,8.54,43.33,211.10,310.23,2.782,25.538,3.117,20.477
178,8.927,,,,,,,,2.530,25.521,1.439,21.090
179,8.988,,,,,,,,2.894,25.719,1.551,20.627
180,9.027,,,,,,,,2.594,25.516,1.577,21.215
181,9.087,,,,,,,,2.984,25.471,2.003,20.687
182,9.128,1,mouse,0.256012,169.62,0.43,395.35,161.74,2.656,25.508,3.265,21.233
183,9.191,,,,,,,,3.211,25.480,3.009,20.698
184,9.230,1,mouse,0.420451,248.60,0.00,443.92,145.86,2.696,25.506,3.061,21.082
185,9.293,1,mouse,0.751506,218.64,0.91,441.06,202.85,2.902,25.522,3.406,20.646
186,9.333,,,,,,,,2.562,25.726,1.502,21.020
187,9.391,1,mouse,0.332068,232.84,0.00,476.33,248.45,2.534,25.543,3.167,20.643
188,9.428,,,,,,,,2.484,25.544,1.495,21.140
189,9.492,1,mouse,0.872269,0.00,15.68,462.87,437.69,2.900,25.558,3.388,20.637
190,9.533,1,mouse,0.625370,220.82,82.09,488.44,463.27,2.559,25.507,3.014,20.961
190,9.533,1,mouse,0.372874,104.32,31.24,487.40,459.47,2.559,25.507,3.014,20.961
191,9.592,1,mouse,0.697597,397.89,0.00,639.62,474.41,2.522,25.539,3.640,20.591
191,9.592,1,mouse,0.541536,0.00,0.00,455.58,476.52,2.522,25.539,3.640,20.591
191,9.592,1,mouse,0.404046,223.94,114.72,467.56,389.42,2.522,25.539,3.640,20.591
192,9.633,1,mouse,0.932902,226.39,141.02,480.86,443.29,2.567,25.731,2.959,20.959
193,9.693,1,mouse,0.815230,192.88,178.49,455.58,470.98,2.766,26.575,3.256,20.530
193,9.693,1,mouse,0.682554,0.15,0.00,473.67,470.07,2.766,26.575,3.256,20.530
193,9.693,1,mouse,0.496017,188.73,9.70,462.40,477.39,2.766,26.575,3.256,20.530
194,9.733,1,mouse,0.935597,186.32,190.54,450.55,463.94,2.549,25.523,2.992,20.920
195,9.790,1,mouse,0.814968,165.53,208.39,434.29,471.07,2.513,25.531,3.342,20.577
196,9.831,1,mouse,0.780036,158.62,192.99,452.77,436.63,2.555,25.746,3.003,20.980
197,9.892,1,mouse,0.889985,137.10,196.86,444.00,467.01,2.709,25.550,3.461,20.550
198,9.934,1,mouse,0.863908,137.60,205.31,426.56,453.02,2.583,25.524,3.019,20.934
199,9.991,1,mouse,0.885442,159.12,226.06,455.64,470.17,2.685,25.584,3.176,20.550
200,10.033,1,mouse,0.917366,154.17,232.34,447.03,472.76,2.555,25.596,3.141,20.885
